dataset,measure,metric,n,pearson_r,pearson_p,spearman_r,spearman_p
bbc_news,overlap,sem_sim,5,0.281,0.6468,0.1,0.8729
bbc_news,kl_divergence,sem_sim,5,-0.625,0.2592,-0.6,0.2848
bbc_news,density,sem_sim,5,-0.627,0.2577,-0.6,0.2848
bbc_news,nmrd,sem_sim,5,0.541,0.3462,0.1,0.8729
banking77,voorhees_nn,sem_sim,77,0.12,0.2974,0.097,0.4025
banking77,voorhees_nn,tok_f1,77,0.19,0.0985,0.147,0.2035
banking77,overlap,sem_sim,77,0.392,0.0004,0.379,0.0007
banking77,overlap,tok_f1,77,0.3,0.0081,0.345,0.0021
banking77,kl_divergence,sem_sim,77,0.286,0.0118,0.296,0.0089
banking77,kl_divergence,tok_f1,77,0.223,0.0514,0.187,0.1043
banking77,density,sem_sim,77,-0.0,0.9983,-0.115,0.3211
banking77,density,tok_f1,77,0.188,0.1013,0.19,0.0971
banking77,nmrd,sem_sim,77,0.175,0.1272,0.152,0.1869
banking77,nmrd,tok_f1,77,0.165,0.1505,0.178,0.1207
20newsgroups,voorhees_nn,sem_sim,20,0.2,0.398,0.074,0.7562
20newsgroups,voorhees_nn,tok_f1,20,0.004,0.9875,-0.079,0.7407
20newsgroups,overlap,sem_sim,20,-0.025,0.9174,-0.047,0.8453
20newsgroups,overlap,tok_f1,20,0.211,0.3723,0.193,0.415
20newsgroups,kl_divergence,sem_sim,20,-0.358,0.1214,-0.441,0.0519
20newsgroups,kl_divergence,tok_f1,20,0.038,0.8748,-0.029,0.9034
20newsgroups,density,sem_sim,20,-0.121,0.6111,-0.173,0.4659
20newsgroups,density,tok_f1,20,0.143,0.548,0.135,0.5704
20newsgroups,nmrd,sem_sim,20,-0.049,0.8379,-0.177,0.4542
20newsgroups,nmrd,tok_f1,20,0.142,0.5503,0.077,0.7469
ag_news,voorhees_nn,sem_sim,4,-0.717,0.2831,-0.775,0.2254
ag_news,overlap,sem_sim,4,0.019,0.981,-0.2,0.8
ag_news,kl_divergence,sem_sim,4,-0.843,0.1566,-0.8,0.2
ag_news,density,sem_sim,4,-0.766,0.2342,-0.8,0.2
ag_news,nmrd,sem_sim,4,0.124,0.8758,-0.4,0.6
